Publishing Date,Headlines,Category
5/17/2011,['KSE dips as souring Pak-US ties worry investors'],Market
5/18/2011,['Kerry’s statement pushes KSE slightly up'],Market
5/19/2011,['KSE volume plunges as IMF tranche remains elusive'],Market
5/20/2011,['KSE dips as rate uncertainty keeps investors away'],Market
5/21/2011,['KSE rebounds on tax exemption rumours'],Market
5/22/2011,['KSE seen rising as brokers set to meet President'],Market
5/24/2011,"['Speculative buying in select stocks pushes KSE over 12,000 points']",Market
5/25/2011,"['President asks KSE to expand reach', 'KSE rises by 100 points on tax relaxation hope']",Market
5/26/2011,['KSE moves up as volumes touch 4-week high'],Market
5/27/2011,['Tax change expectation pushes up KSE'],Market
5/28/2011,['KSE makes further gains as investors see tax cuts'],Market
5/29/2011,['KSE to maintain current level next week'],Market
5/31/2011,['KSE dips as investors book profits'],Market
6/1/2011,['KSE sheds 72 points on budget concerns'],Market
6/2/2011,['KSE gains 141 points on energy shares'],Market
6/3/2011,"['KSE investment returns down to 19 percent', 'Budget worries drag KSE-100 down']",Market
6/4/2011,['KSE-100 gains 57 points on buying in cement shares'],Market
6/7/2011,['Banking shares buying limits KSE fall to 25 points'],Market
6/8/2011,['KSE rises 103 points on energy scrips'],Market
6/9/2011,"['KSE-100 continues upward movement, gains 52 points']",Market
6/10/2011,['Profit-taking drags KSE-100 lower'],Market
6/11/2011,['KSE gains 47 points on selective buying'],Market
6/12/2011,['Uncertainty to grip KSE next week'],Market
6/14/2011,['KSE takes a dip as global worries hurt sentiment'],Market
6/15/2011,['KSE remains lacklustre with thin trade'],Market
6/16/2011,['KSE slides further in thin trade'],Market
6/18/2011,['KSE-100 dips as investors remain sceptical'],Market
6/19/2011,['OMCs margin revision may lift KSE'],Market
6/21/2011,['KSE takes a plunge of 195 points'],Market
6/22/2011,['KSE recovers 160 points as oil shares surge'],Market
6/23/2011,['KSE gains 43 points on selective buying in blue-chips'],Market
6/24/2011,['KSE surges as results season draws near'],Market
6/25/2011,['KSE falls 53 points on profit taking'],Market
6/26/2011,"['KSE may rise on energy, fertiliser shares']",Market
6/28/2011,"['KSE closes almost flat on sell-off in petroleum, fertiliser shares']",Market
6/29/2011,"['KSE falls to nine-year low in 2010/11', 'KSE falls 102 points as MQM bids adieu to PPP']",Market
6/30/2011,['Nestle pushes KSE 100-share index up'],Market
7/1/2011,"['KSE gains 72.73 points over gas price hike', 'KSE ends year with a 29 percent gain amid low participation']",Market
7/2/2011,['KSE slips slightly as investors remain away'],Market
7/3/2011,['Trading activity to remain range-bound at KSE'],Market
7/5/2011,['KSE gains 76 points as investors rebuild portfolios'],Market
7/6/2011,['Pre-results buying pushes KSE up 16 points'],Market
7/7/2011,"['KSE to investigate wild Nestle movements', 'KSE down 42 points as poor security situation dampens sentiment']",Market
7/8/2011,['KSE takes a nosedive as killings continue'],Market
7/9/2011,['Volume drops to 10-month low at KSE'],Market
7/12/2011,['KSE -100 sheds 98 points as city remains tense'],Market
7/13/2011,['Pak-US tension drags KSE down by 100 points'],Market
7/14/2011,['KSE-100 rebounds as investors rush for dividend yielding shares'],Market
7/16/2011,['KSE gains as political dust settles'],Market
7/17/2011,['Political situation to guide sentiment at KSE'],Market
7/19/2011,['KSE-100 down 28.28 points'],Market
7/20/2011,['KSE-100 bounces back on improved political situation'],Market
7/21/2011,['KSE down 10.37 points as investors book profit'],Market
7/22/2011,['KSE-100 gains 41.60 points as investors buy shares'],Market
7/23/2011,['Intense trading in low-priced shares keeps KSE-100 flat'],Market
7/24/2011,['KSE to climb further over likely announcement of good financial results'],Market
7/26/2011,['US debt worries drag KSE down by 82 points'],Market
7/27/2011,['KSE drops 30 points over good MCB Bank result'],Market
7/28/2011,['KSE down 98.53 points over foreign portfolio investment flight'],Market
7/29/2011,['KSE falls 167 points as unease over US debt grows'],Market
7/30/2011,"['KSE jacks up compensation limit by 200pc', 'KSE gains 92 points as results cheer up investors']",Market
8/2/2011,['KSE gains 63 points over unexpected cut in discount rate'],Market
8/3/2011,['KSE down as volume sinks to 13-month low'],Market
8/4/2011,['KSE takes a deep plunge of 284 points as more violence feared'],Market
8/5/2011,['KSE slips 82 points as violence continues'],Market
8/6/2011,['KSE nosedives 471 points'],Market
8/9/2011,['KSE up as lower prices attract buyers'],Market
8/10/2011,['KSE nosedives again as foreign selling feared'],Market
8/11/2011,['KSE rebounds sharply over Fed assurance'],Market
8/12/2011,['KSE remains steady after early session panic'],Market
8/13/2011,"['KSE 30 index reconstituted', 'Late profit-taking erodes early gains at KSE']",Market
8/14/2011,['Foreign markets to set KSE direction'],Market
8/16/2011,['KSE slips 96 points as uncertainty remains'],Market
8/17/2011,['KSE surges in another thinly traded session'],Market
8/19/2011,['KSE sheds 141 points as NBP result disappoints'],Market
8/20/2011,['KSE dips to nine-month low on fears of offshore funds’ exit'],Market
8/21/2011,['KSE closes lower for fourth week in a row'],Market
8/23/2011,['KSE 100-share index recovers slightly'],Market
8/25/2011,"['KSE up 98 points on European, US markets rebound']",Market
8/26/2011,['KSE slips 39 points as funds remain away'],Market
8/28/2011,['KSE seen range-bound in shortened week'],Market
8/30/2011,"['Fertiliser, oil shares attract buyers at KSE']",Market
8/31/2011,['KSE rises as global recovery hopes encourage investors'],Market
9/4/2011,['KSE may come under pressure'],Market
9/7/2011,['KSE rises 157 points as low prices attract buyers'],Market
9/8/2011,['KSE rises 10 points as buying slowed ahead of results'],Market
9/10/2011,['KSE falls 62 points as world markets slide'],Market
9/13/2011,['KSE slumps as foreigners sell stocks'],Market
9/14/2011,"['Rains keep trading thin at KSE, index ends up']",Market
9/16/2011,['KSE closes almost flat amid little trade'],Market
9/17/2011,['Buying in energy stocks pushes KSE up'],Market
9/18/2011,['KSE may go down as world markets remain jittery'],Market
9/20/2011,['KSE ends flat as suicide attack scares away investors'],Market
9/21/2011,['KSE jumps 166 points as oil stocks gain value'],Market
9/22/2011,"['KSE jumps on inflation base year revision, rate cut hopes']",Market
9/23/2011,['KSE nosedives on concerns over foreign outflows'],Market
9/24/2011,['KSE drops as Pak-US ties worsen'],Market
9/27/2011,['KSE takes a deep plunge as Pak-US row intensifies'],Market
9/28/2011,['KSE rebounds as Pak-US ties seen improving'],Market
9/29/2011,['Investors’ interest in fertiliser stocks pushes KSE up'],Market
9/30/2011,['KSE ends up as White House statement seen supporting Pakistan'],Market
10/1/2011,['National savings rates cut boosts KSE'],Market
10/2/2011,['KSE to continue gains ahead of monetary policy'],Market
10/4/2011,['KSE dips as power riots upset investors'],Market
10/5/2011,['Buying in fertiliser stocks pushes KSE to two-month high'],Market
10/6/2011,['KSE falls 65 points as fertiliser stocks retreat'],Market
10/7/2011,"['KSE down, awaits monetary policy announcement']",Market
10/8/2011,['KSE rises slightly on select buying'],Market
10/9/2011,"['KSE set to surpass 12,000 points next week']",Market
10/11/2011,"['Soft policy pushes KSE above 12,000 points']",Market
10/12/2011,['KSE sheds 37.50 points on profit-booking'],Market
10/13/2011,['KSE rises marginally on selective buying'],Market
10/14/2011,"['Energy, banking shares pull KSE down by 92 points']",Market
10/15/2011,['KSE closes week with minor gains'],Market
10/16/2011,"['KSE to consolidate near 12,000-point level']",Market
10/18/2011,"['KSE down on selling in energy, fertiliser stocks']",Market
10/19/2011,"['Gas supply problems, lower earnings bring KSE down']",Market
10/21/2011,['KSE recovers slightly on bargain hunting in banking stocks'],Market
10/26/2011,['KSE remains depressed over uncertain relations with US'],Market
10/27/2011,['KSE declines on futures rollover pressure'],Market
10/29/2011,['KSE recovers lost ground on aggressive buying'],Market
10/30/2011,['KSE expected to make gains next week'],Market
11/1/2011,['KSE rises over 2pc on renewed buying'],Market
11/3/2011,['KSE dips slightly as fertiliser shares dumping continues'],Market
11/4/2011,['KSE closes higher on selective buying'],Market
11/5/2011,['KSE rises 150 points on speculative buying'],Market
11/12/2011,['KSE gains 50 points on selective buying'],Market
11/13/2011,['KSE likely to maintain buying momentum next week'],Market
11/15/2011,['Profit-taking drags KSE down'],Market
11/16/2011,['KSE extends losses as profit-taking continues'],Market
11/17/2011,"['KSE to introduce sector-specific futures indices', 'KSE ends almost flat as profit-booking erodes gains']",Market
11/18/2011,"['KSE falls on energy, banking stocks sell-off']",Market
11/19/2011,['KSE-100 index recovers on fresh buying'],Market
11/20/2011,['KSE likely to remain sluggish'],Market
11/22/2011,['KSE declines slightly amid sluggish trade'],Market
11/23/2011,"['KSE falls one percent as energy, banking scrips go down']",Market
11/24/2011,['KSE slips 133 points as global stocks dip'],Market
11/25/2011,"['KSE recovers on fresh buying in energy, fertiliser stocks']",Market
11/26/2011,['KSE falls as foreign investors choose to sell'],Market
11/29/2011,['Tension with US drags KSE down by over 1pc'],Market
11/30/2011,['KSE gains 12 points on selective buying'],Market
12/1/2011,['KSE exempts members from depositing token money'],Market
12/2/2011,"['Buying in energy, banking stocks pushes up KSE']",Market
12/3/2011,"['Possible NIT share sale might engender KSE crash', 'US Senate ruling triggers panic selling at KSE']",Market
12/4/2011,['KSE to make gains as Pak-US relations seen improving'],Market
12/8/2011,"['KSE loses 88 points on institutional selling', 'SECP, KSE agree to relax capital gains tax collection rules']",Market
12/9/2011,"['FBR seeks investors’ data, serves notice on KSE', 'KSE recovers 100 points on bargain hunting', 'KSE members reject two-year term proposal']",Market
12/10/2011,['KSE rises on hopes of change in CGT collection method'],Market
12/11/2011,['KSE expected to remain range-bound'],Market
12/13/2011,['KSE closes a tad higher on selective buying'],Market
12/14/2011,"['KSE plunges 199 points as US freezes aid', 'Oil, gas sector outperforms KSE']",Market
12/15/2011,['KSE rises 23 points but trade remains dull'],Market
12/16/2011,['KSE falls to 15-week low as global commodities tumble'],Market
12/17/2011,['KSE plunges to 16-week low on memo issue'],Market
12/18/2011,"['KSE likely to remain under', 'SECP disapproves KSE decision']",Market
12/20/2011,['KSE index rises by 55 points on select buying'],Market
12/21/2011,['Investors’ hopes on CGT resolution push KSE up 2.3pc'],Market
12/22/2011,['KSE sees technical correction as gas prices raised'],Market
12/23/2011,"['KSE closes above 11,300 points on active buying', 'KSE receives application for card acquisition']",Market
12/24/2011,['KSE holds breath amid rumours of political change'],Market
12/25/2011,['Memo controversy to keep KSE under pressure'],Market
12/27/2011,['KSE slightly up amid thin buying'],Market
12/29/2011,['KSE rises by over 100 points on institutional buying'],Market
12/30/2011,"['Buying in Nestle pushes KSE up', 'KSE members elect five board directors']",Market
12/31/2011,['KSE ends lower as investors book profits'],Market
1/1/2012,"['KSE seen crossing 13,000-point mark']",Market
1/3/2012,"['Nestle, OGDC drag KSE lower despite fertiliser support', 'KSE restores membership']",Market
1/4/2012,['KSE gains 120 points on institutional buying'],Market
1/5/2012,['Selling in blue chips pulls KSE index down'],Market
1/6/2012,['KSE plunges as rupee slide continues'],Market
1/7/2012,"['Selling in oil blue-chips brings KSE lower', 'KSE issues  notice to 19 companies']",Market
1/8/2012,['Foreign selling at KSE to continue'],Market
1/10/2012,"['KSE drops again over rupee depreciation', 'KSE develops risk management system']",Market
1/11/2012,"['KSE index falls below 11,000-point level']",Market
1/12/2012,"['KSE adds new sub-clauses to short selling rules', 'SECP re-appoints four directors on KSE board']",Market
1/13/2012,['KSE index declines to five-month low'],Market
1/14/2012,['KSE recovers 105 points on fresh buying'],Market
1/19/2012,"['KSE reaches 7-week high on positive sentiments', 'Refineries under-perform KSE in 2011']",Market
1/20/2012,['Profit booking drags KSE index down by 32 points'],Market
1/22/2012,"['KSE to breach 12,000-point mark']",Market
1/24/2012,"['KSE rises 2.23pc, volume surges to one-year high']",Market
1/25/2012,"['KSE index declines by 46 points on profit-booking', 'KSE delists 24 firms']",Market
1/26/2012,['KSE index declines on rollover pressure'],Market
1/27/2012,"['KSE index down over investors concern on CGT', 'Munir Kamal gets second term as KSE chairman']",Market
1/28/2012,"['KSE closes positive on strong valuations in fertiliser, oil shares']",Market
1/29/2012,['KSE to maintain buying momentum'],Market
1/31/2012,['KSE index falls by 77 points on institutional selling'],Market
2/1/2012,"['KSE index down by eight points on profit-selling', 'KSE suspends membership of brokerage house']",Market
2/3/2012,"['KSE index falls, records over 100m shares turnover']",Market
2/4/2012,['WTO waiver helps KSE index end week on a positive note'],Market
2/5/2012,"['KSE likely to consolidate around 12,000 points']",Market
2/7/2012,['KSE index touches six-month high'],Market
2/8/2012,['KSE index up 148 points on foreign buying'],Market
2/9/2012,['KSE index sheds 21 points on profit-selling'],Market
2/10/2012,['KSE index falls 50 points on institutional selling'],Market
2/11/2012,['KSE index gains 18 points amid'],Market
2/12/2012,['KSE likely to maintain buying momentum'],Market
2/14/2012,"['KSE-30 index recomposed', 'KSE index edges up as SC adjourns PM’s case']",Market
2/15/2012,['KSE remains flat in range-bound session'],Market
2/16/2012,"['KSE to consider enhancing upper, lower limits to 7.5pc', 'KSE index up 49 points on positive sentiment']",Market
2/17/2012,['KSE index touches seven-month high'],Market
2/18/2012,['KSE index gains 91 points on buying rally'],Market
2/21/2012,"['KSE index consolidates above 12,500 points']",Market
2/22/2012,"['Earnings push up KSE, turnover hits 22-month high']",Market
2/23/2012,['KSE index closes at 14-month high'],Market
2/24/2012,['KSE index down by 88 points on profit selling'],Market
2/25/2012,['Euphoric buying leads KSE index to near four-year high'],Market
2/26/2012,['Experts foresee continuation of buying rally at KSE'],Market
2/28/2012,['KSE index improves by 37 points on select buying'],Market
2/29/2012,['KSE index ends marginally lower'],Market
3/1/2012,"['KSE index hits four-year high as foreign buying boosts confidence', 'SCB board member visits KSE']",Market
3/2/2012,['KSE index gains 63 points on positive buying'],Market
3/3/2012,"['KSE index crosses 13,000-point barrier after June 2008']",Market
3/4/2012,"['KSE index seen consolidating around 13,000 points']",Market
3/6/2012,"['KSE index continues to make fresh gains', 'Regulations for KSE approved']",Market
3/7/2012,['KSE index surges to 46-month high'],Market
3/8/2012,['KSE index ends 79 points lower on profit-selling'],Market
3/9/2012,"['KSE index edges up, volumes soar to two-year high']",Market
3/10/2012,"['Volumes at KSE hit six-year high', 'KSE membership up for sale']",Market
3/11/2012,['KSE likely to face downward correction'],Market
3/13/2012,['KSE index edges higher on limited buying'],Market
3/14/2012,['KSE index falls by 100 points on profit-selling'],Market
3/15/2012,['KSE index rises on foreign buying euphoria'],Market
3/16/2012,['KSE index gains 90 points on select buying'],Market
3/17/2012,['KSE index sheds 154 points on profit-selling'],Market
3/18/2012,['KSE likely to witness technical correction'],Market
3/20/2012,['KSE index plunges by 219 points on panic selling'],Market
3/22/2012,['KSE index slightly down on profit-selling'],Market
3/23/2012,"['KSE sells three membership cards', 'KSE index falls by 20 points on scattered selling']",Market
3/27/2012,['KSE 100 index edges higher on buying in second-tier stocks'],Market
3/29/2012,['KSE index hits 46-month high on false hopes'],Market
3/31/2012,['KSE 100 index jumps up by 200 plus points'],Market
4/1/2012,"['KSE Index may cross 14,000-point level over delay in CGT']",Market
4/3/2012,['KSE index down by 98 points on profit-selling'],Market
4/4/2012,['KSE index gains 28 points on selective buying'],Market
4/5/2012,['KSE hits 47-month high on hopes of capital gains tax reform'],Market
4/6/2012,['KSE index sheds 113 points on technical correction'],Market
4/7/2012,['KSE index gains 44 points on selective buying'],Market
4/8/2012,['KSE likely to witness buying rally'],Market
4/10/2012,['KSE index sheds 11 points on profit taking'],Market
4/11/2012,['KSE index gains 38 points on select buying'],Market
4/12/2012,['KSE index falls by 86 points on profit-selling'],Market
4/13/2012,['KSE index down 123 points on panic-selling'],Market
4/14/2012,['Select-buying pushes KSE index up by 106 points'],Market
4/15/2012,['KSE index likely to remain volatile'],Market
4/17/2012,['KSE index down 29 points on technical-selling'],Market
4/18/2012,['KSE index down six points on selective selling'],Market
4/19/2012,['KSE index surges by 174 points on across-the-board buying'],Market
4/20/2012,"['KSE index edges lower,faces tough resistance at 14,000-point level']",Market
4/21/2012,"['KSE closes above 14,000 points psychological level']",Market
4/24/2012,"['KSE index closes above key 14,000-point level after 4 years']",Market
4/25/2012,['KSE up by 49 points on buying in banking stocks'],Market
4/26/2012,"['KSE index up by 85 points to close above 14,200 points', 'Regulations governing index option contracts of KSE approved']",Market
4/27/2012,['KSE index down by 152 points on panic-selling'],Market
4/28/2012,['KSE index sheds 23.23 points'],Market
4/29/2012,['KSE likely to see some profit-selling'],Market
5/3/2012,"['KSE index up by 152 points to close above 14,100 points']",Market
5/4/2012,"['Foreign buying helps KSE 100 index rise 2pc, closes at 48-month high']",Market
5/5/2012,['KSE index surges by 192 points on renewed foreign buying'],Market
5/6/2012,['KSE likely to maintain buying momentum'],Market
5/7/2012,"['Let’s wage ‘war of trade,’ not war: Indian guests']",Market
5/8/2012,['KSE index rises on select buying'],Market
5/9/2012,['KSE index down by 104 points on profit-selling'],Market
5/10/2012,"['Selective buying helps KSE index close above 14,600 points']",Market
5/11/2012,"['KSE appoints Deutsche Bank as consultant', 'KSE index down by 193 points on cautious selling']",Market
5/12/2012,['KSE comes under selling pressure after SECP notice'],Market
5/13/2012,['KSE likely to remain under selling pressure'],Market
5/15/2012,['KSE index declines by two points'],Market
5/16/2012,['KSE index up by 85 points on select buying'],Market
5/17/2012,['KSE index falls as investors take cue from global markets'],Market
5/18/2012,['Oil stocks lagged KSE'],Market
5/19/2012,"['KSE index closes below 14,000-point level as selling continues']",Market
5/20/2012,"['Global markets, upcoming budget to weigh on KSE sentiments', 'KSE, NAB reach agreement']",Market
5/22/2012,['KSE index recovers 18 points on select buying'],Market
5/24/2012,"['KSE index declines as investors offload oil, banking shares']",Market
5/25/2012,"['KSE index falls below 14,000 points crucial level']",Market
5/26/2012,['KSE index falls by 12 points in range-bound session'],Market
5/29/2012,['Scattered buying helps KSE index recovers past 14000 points'],Market
5/30/2012,['KSE index ends marginally up on limited foreign buying'],Market
5/31/2012,['KSE index plunges by 200 points on selling pressure'],Market
6/1/2012,['KSE index down by 95 points on budget eve'],Market
6/2/2012,"['KSE gains 90 points, turnover remains low', 'KSE members welcome inclusion of CGT ordinance in Finance Bill']",Market
6/5/2012,"['KSE takes cue from global markets, index closes down']",Market
6/6/2012,['KSE ends lower as investors prefer to stay sidelined'],Market
6/7/2012,['KSE index regains 37.50 points on technical buying'],Market
6/8/2012,['KSE index edges lower ahead of monetary policy announcement'],Market
6/9/2012,"['KSE index falls by 1pc on uncertainty over CGT ordinance', 'Akzo Noble seeks listing at KSE']",Market
6/10/2012,['KSE likely to show positive trend'],Market
6/12/2012,['KSE regains 43 points on select buying'],Market
6/13/2012,['KSE wipes-off 1.26pc on failure in Pak-US talks'],Market
6/15/2012,['KSE up by 2.15pc on across-the-board buying'],Market
6/16/2012,"['KSE modifies method for benchmark 100-share index', 'Scattered buying pushes KSE index marginally higher']",Market
6/17/2012,['KSE likely to improve next week'],Market
6/19/2012,['KSE index sheds 88 points on select buying'],Market
6/20/2012,['KSE down by 71 points on selling pressure'],Market
6/21/2012,['Turnover at KSE falls to five-month low'],Market
6/22/2012,['KSE falls by 67 points over political uncertainty'],Market
6/23/2012,['KSE gains 130 points ahead of PM’s election'],Market
6/24/2012,['Shares likely to book gains at KSE next week'],Market
6/26/2012,['KSE index falls by 89 points on selling pressure'],Market
6/27/2012,['KSE index edges higher on scattered buying'],Market
6/28/2012,['KSE gains 143 points on across-the-board buying'],Market
6/29/2012,['KSE slightly up on selective buying'],Market
6/30/2012,['KSE down by four points in last session of FY12'],Market
7/3/2012,['KSE index surges by 341 points on across-the-board buying'],Market
7/4/2012,['KSE adds 58 points on fresh buying in select stocks'],Market
7/5/2012,['KSE down by 23 points on profit-selling'],Market
7/6/2012,['Turnover fell to six-month low amid lacklustre trade at KSE'],Market
7/7/2012,['KSE index touches eight-week high'],Market
7/8/2012,['KSE to go up amid expected SECP chief visit'],Market
7/9/2012,['KSE index gains 151 points on fresh buying'],Market
7/10/2012,['KSE rises by 69 points on select buying'],Market
7/11/2012,['KSE remains flat as investors largely stay on sidelines'],Market
7/12/2012,['KSE index ends slightly higher amid range-bound trading'],Market
7/13/2012,"['KSE index rises to two-month high above 14,400 points']",Market
7/14/2012,"['KSE to issue Rs10m guarantee for each member broker', 'KSE delists 18 companies', 'KSE index loses 69 points on selling pressure']",Market
7/15/2012,['KSE likely to welcome pre-results buying rally next week'],Market
7/17/2012,['KSE gains 52 points on hopes over early general elections'],Market
7/18/2012,['KSE index surges to 10-week high on earnings outlook'],Market
7/19/2012,['KSE index gains 151 points on fresh buying'],Market
7/20/2012,['KSE loses 28 points on profit-selling'],Market
7/21/2012,['KSE ends marginally lower in dull trading'],Market
7/25/2012,['KSE index loses another 15 points in dull session'],Market
7/26/2012,['KSE stages recovery after losses in four consecutive sessions'],Market
7/27/2012,['KSE falls by 11 points on profit-selling'],Market
7/28/2012,['KSE loses another 27 points in rollover pressure'],Market
7/29/2012,"['KSE likely to stay firm above 14,500 points level']",Market
7/31/2012,"['KSE closes marginally low, investors stay on sidelines']",Market
8/1/2012,['KSE 100-share index rises 65 points on across-the-board buying'],Market
8/2/2012,['KSE index at 50-month high on inflation data'],Market
8/4/2012,['KSE index declines by 54 points on profit-selling'],Market
8/5/2012,"['KSE index likely to test 15,000 points level']",Market
8/7/2012,['KSE closes flat as investors square up intra-day positions'],Market
8/8/2012,['KSE index consolidates with a fresh fall of 1.53 points'],Market
8/9/2012,"['KSE index surges to 50-month high above 14,700 points']",Market
8/10/2012,['KSE index up by 15 points on payouts euphoria'],Market
8/11/2012,['KSE index rises by two points on cautious trading'],Market
8/12/2012,"['KSE index likely to surpass 15,000 points']",Market
8/14/2012,['KSE index surges by 150 points to 51-month high'],Market
8/16/2012,['KSE index up by 59 points as investors build positions'],Market
8/17/2012,"['KSE index surpasses 15,000 points level on select buying']",Market
8/19/2012,"['KSE index likely to remain above 15,000-point level']",Market
8/24/2012,['KSE rallies on higher oil prices'],Market
8/25/2012,['KSE index shed 41.37 points on technical adjustment'],Market
8/28/2012,['KSE rallies as SC grants time to PM'],Market
8/29/2012,['KSE gains 62.82 points on healthy sentiment'],Market
8/30/2012,['KSE index down 83.17 points on technical adjustment'],Market
8/31/2012,"['Muneer Kamal re-elected chairman KSE board', 'KSE gains 102 points on healthy payouts expectation']",Market
9/1/2012,['Single-digit inflation pushes KSE index up by 137 points'],Market
9/2/2012,['Big ticket results to further shore up KSE'],Market
9/4/2012,"['Volatility at KSE on back of results, ICH controversy']",Market
9/5/2012,"['KSE to delist six non-complaint companies', 'KSE index down by 40.36 points on profit-taking', 'Delay in arrival of stocks slows business at Made in Pakistan exhibition']",Market
9/6/2012,['KSE index down 95 points on profit-taking'],Market
9/7/2012,['KSE index falls 105 points on technical selling'],Market
9/8/2012,['Global markets’ rebound pushes KSE index up'],Market
9/9/2012,"['KSE index likely to consolidate near 15,000 points']",Market
9/11/2012,"['KSE approaches MSCI for status upgradation', 'KSE index falls 14 points on profit-selling']",Market
9/12/2012,['KSE index down by 26 points on extended offloading'],Market
9/13/2012,"['KSE index increases by 64 points on issuance of TFCs', 'KSE election for directors on 25th']",Market
9/14/2012,['KSE index up by another 28 points on select buying'],Market
9/15/2012,['Global recovery pushes KSE index to 53-month high'],Market
9/16/2012,"['KSE index likely to surpass 15,500 points on foreign buying']",Market
9/18/2012,['KSE index down by 51 points ahead of NRO case hearing'],Market
9/19/2012,"['KSE index crosses 15,500 points level']",Market
9/20/2012,['Gas discovery pushes KSE index closer to all-time high level'],Market
9/21/2012,['KSE index falls 136 points on profit-selling'],Market
9/23/2012,['KSE index likely to touch all-time high'],Market
9/25/2012,"['KSE index falls below 15,400 points on extended selling']",Market
9/26/2012,['KSE index inches back due to rollover pressure'],Market
9/27/2012,['KSE index recovers 26 points on select buying'],Market
9/28/2012,['KSE index down by 42 points amid consolidation'],Market
9/29/2012,"['KSE changes base method to calculate 100 index from Oct 15', 'KSE index up by 87 points on international oil price rebound']",Market
9/30/2012,['KSE likely to rise on interest rate cut hopes'],Market
10/2/2012,"['KSE-100 index recomposed', 'Lower inflation numbers push KSE 100-index higher']",Market
10/3/2012,['Interest rate cuts hopes bolster KSE index'],Market
10/4/2012,"['KSE index hits all-time high after 54 months', 'KSE expels Pearl Capital Management']",Market
10/5/2012,"['KSE index hits fresh high of 15,789 points']",Market
10/6/2012,['KSE index declines on profit-selling'],Market
10/7/2012,['KSE index likely to revert down due to lower-than-expected rate cut'],Market
10/9/2012,['Extended profit-selling pulls KSE index down'],Market
10/10/2012,"['KSE index likely to hit 18,000 points prior to elections: analysts']",Market
10/11/2012,['KSE index gains as SC approves Swiss letter draft'],Market
10/12/2012,"['Strong earnings outlook pushes KSE index to all-time high of 15,845 points']",Market
10/13/2012,['KSE index declines by 151 points on profit-selling'],Market
10/14/2012,['KSE index likely to maintain declining trend'],Market
10/16/2012,['KSE stages mild recovery as free float index commences'],Market
10/17/2012,['KSE index declines by 73 points on profit-selling'],Market
10/18/2012,['KSE index falls on extended profit-selling'],Market
10/19/2012,['Cement stocks help KSE index recover 25 points'],Market
10/20/2012,['FFBL payout pushes KSE index up by 114 points'],Market
10/21/2012,"['KSE index likely to test 16,000 points-mark']",Market
10/23/2012,['Earnings euphoria takes KSE to record high'],Market
10/24/2012,"['KSE index touches fresh high of 15,854 points']",Market
10/25/2012,"['KSE index surges to all-time high of 15,866 points']",Market
10/26/2012,['KSE index falls by 53 points on profit-selling'],Market
10/27/2012,['KSE index likely to maintain upward momentum'],Market
10/30/2012,['KSE-100 index at all-time high?'],Market
10/31/2012,['KSE index falls by 17 points on extended profit-selling'],Market
11/1/2012,"['KSE index climbs to all-time high of 15,910 points']",Market
11/2/2012,"['KSE index touches fresh high of 15,962.37 points']",Market
11/3/2012,"['KSE index crosses 16,000-points level']",Market
11/4/2012,"['KSE index likely to sustain above 16,000-points level', 'US CG to visit KSE']",Market
11/6/2012,['KSE index rises on significant buying in fertiliser stocks'],Market
11/7/2012,"['KSE index sheds 105 points on CJP, COAS statements']",Market
11/8/2012,['Obama’s reelection helps KSE index score fresh high'],Market
11/9/2012,['Letter to Swiss authorities pushes KSE index to fresh high'],Market
11/11/2012,['KSE index likely to consolidate gains'],Market
11/13/2012,['KSE index down by 30 points on profit-selling'],Market
11/14/2012,"['SECP, KSE consider allowing intraday short-selling', 'KSE index sheds 84 points on extended profit-selling']",Market
11/15/2012,['KSE index trims nine points ahead of Muharram'],Market
11/16/2012,['Low-priced shares help KSE index regain 23 points'],Market
11/17/2012,['KSE index rises by 55 points on renewed buying'],Market
11/18/2012,['KSE index likely to remain lacklustre'],Market
11/20/2012,"['KSE index climbs to all-time high of 16,251 points']",Market
11/21/2012,['Shares turnover at KSE hits seven-month high'],Market
11/22/2012,['KSE index falls by 18.60 points ahead of Ashura holidays'],Market
11/23/2012,"['KSE delists 7 companies', 'Turnover at KSE improved by 25 million shares']",Market
11/24/2012,['KSE index declines by 13.42 points ahead of Ashura holidays'],Market
11/25/2012,['KSE index to consolidate further next week'],Market
11/27/2012,"['KSE suspends shares trading of 21 companies', 'KSE index hits fresh high on strong textile exports']",Market
11/29/2012,"['KSE index scores 16,424.03 points on strong valuations']",Market
11/30/2012,['KSE surges by 103.05 points on SBP rate cut expectation'],Market
12/1/2012,['Oil & banking push KSE index to all-time high'],Market
12/2/2012,['KSE likely to perform well next week'],Market
12/4/2012,['KSE index down by 35.88 points ahead of monetary policy announcement'],Market
12/5/2012,"['KSE index breaks all records to close at 16,650.15 points']",Market
12/6/2012,['KSE surges by 25.55 points ahead of monetary policy announcement'],Market
12/7/2012,['Discount rate cut expectations push KSE index higher'],Market
12/8/2012,['KSE index falls by 16.64 points on technical correction'],Market
12/9/2012,['KSE to continue positive trend next week'],Market
12/11/2012,['KSE index down by 20.14 points on profit-taking'],Market
12/12/2012,"['KSE index falls by 85.85 points ahead of monetary policy announcement', 'SECP penalises two KSE brokers']",Market
12/13/2012,['KSE index up 42.91 points on likely cut in discount rate'],Market
12/14/2012,['KSE index witnesses positive trend on investors’ interest'],Market
